Name	Condition	Replicate	Read1	Read2
col0_rep1	col0	1	1_Col-0_2_S1_R1_001	
col0_rep2	col0	2	2_Col-0_3_S2_R1_001	
col0_rep3	col0	3	3_Col-0_4_S3_R1_001
minu_rep1	minu	1	4_minu1-2_1_S4_R1_001	
minu_rep2	minu	2	5_minu1-2_2_S5_R1_001
minu_rep3	minu	3	6_minu1-2_3_S6_R1_001
